ensemble,repeat,fold,model,weight,train_ap
cnn_mantis_moment_timemil,0,2,mantis_random_frozen_curves_scalars,0.1,0.36168924187111173
cnn_mantis_moment_timemil,0,2,moment_small_frozen_curves_scalars,0.0,0.36168924187111173
cnn_mantis_moment_timemil,0,2,timemil_curves_scalars,0.3,0.36168924187111173
cnn_mantis_moment_timemil,0,3,current_cnn,0.6,0.37852635012081387
cnn_mantis_moment_timemil,0,3,mantis_random_frozen_curves_scalars,0.1,0.37852635012081387
cnn_mantis_moment_timemil,0,3,moment_small_frozen_curves_scalars,0.0,0.37852635012081387
cnn_mantis_moment_timemil,0,3,timemil_curves_scalars,0.3,0.37852635012081387
cnn_mantis_moment_timemil,0,4,current_cnn,0.1,0.4132218514634632
cnn_mantis_moment_timemil,0,4,mantis_random_frozen_curves_scalars,0.1,0.4132218514634632
cnn_mantis_moment_timemil,0,4,moment_small_frozen_curves_scalars,0.6,0.4132218514634632
cnn_mantis_moment_timemil,0,4,timemil_curves_scalars,0.2,0.4132218514634632
cnn_mantis_moment_timemil,1,0,current_cnn,0.8,0.4321934153239533
cnn_mantis_moment_timemil,1,0,mantis_random_frozen_curves_scalars,0.0,0.4321934153239533
cnn_mantis_moment_timemil,1,0,moment_small_frozen_curves_scalars,0.2,0.4321934153239533
cnn_mantis_moment_timemil,1,0,timemil_curves_scalars,0.0,0.4321934153239533
cnn_mantis_moment_timemil,1,1,current_cnn,0.3,0.38535739806515307
cnn_mantis_moment_timemil,1,1,mantis_random_frozen_curves_scalars,0.3,0.38535739806515307
cnn_mantis_moment_timemil,1,1,moment_small_frozen_curves_scalars,0.0,0.38535739806515307
cnn_mantis_moment_timemil,1,1,timemil_curves_scalars,0.4,0.38535739806515307
cnn_mantis_moment_timemil,1,2,current_cnn,0.3,0.3762988335410808
cnn_mantis_moment_timemil,1,2,mantis_random_frozen_curves_scalars,0.3,0.3762988335410808
cnn_mantis_moment_timemil,1,2,moment_small_frozen_curves_scalars,0.0,0.3762988335410808
