index,model,segment,temporal_patch,mean,std
382,timemil_curves_scalars,14,11,0.0043020963946654766,0.0007251680093683411
383,timemil_curves_scalars,14,12,0.004248345562280351,0.0007613383477929449
384,timemil_curves_scalars,15,1,0.004648821510593681,0.0009056932064002055
385,timemil_curves_scalars,15,2,0.004896674882385786,0.0010016106681373033
386,timemil_curves_scalars,15,3,0.004173944529122477,0.000528171173516615
387,timemil_curves_scalars,15,4,0.005480507708608541,0.0009636335034877536
388,timemil_curves_scalars,15,5,0.004708466642465787,0.0005204668004326407
389,timemil_curves_scalars,15,6,0.00428417359846605,0.00040123364888386014
390,timemil_curves_scalars,15,7,0.004725304622977909,0.0006567967201720379
391,timemil_curves_scalars,15,8,0.004080479725913591,0.00047912494198800956
392,timemil_curves_scalars,15,9,0.004749324162952414,0.0004679131078017978
393,timemil_curves_scalars,15,10,0.0044028694338376535,0.0005487704793656981
394,timemil_curves_scalars,15,11,0.004280018910742169,0.0006559394842543675
395,timemil_curves_scalars,15,12,0.004286732927684774,0.0007615109187724876
396,timemil_curves_scalars,16,1,0.004739843522190672,0.0009104566719663348
397,timemil_curves_scalars,16,2,0.004967921464351796,0.0009705244671409538
398,timemil_curves_scalars,16,3,0.004178596882564368,0.0005512501258478669
399,timemil_curves_scalars,16,4,0.005450414043671193,0.0009962972724532123
400,timemil_curves_scalars,16,5,0.004665471860911979,0.000462165164445055
401,timemil_curves_scalars,16,6,0.004250788242368325,0.0003921424701841508
402,timemil_curves_scalars,16,7,0.004667765645803336,0.0005785000170000283
403,timemil_curves_scalars,16,8,0.0040363599849520485,0.0004186198620630246
404,timemil_curves_scalars,16,9,0.004729656482060605,0.0004678182647123
405,timemil_curves_scalars,16,10,0.004387822788709602,0.0005653690636752161
406,timemil_curves_scalars,16,11,0.0042411210778474555,0.0006308229814213917
407,timemil_curves_scalars,16,12,0.0042086675324860745,0.0006481274278566638
408,timemil_curves_scalars,17,1,0.004790439892622854,0.000952417387679544
409,timemil_curves_scalars,17,2,0.005128310816245107,0.0011829062161851328
410,timemil_curves_scalars,17,3,0.004272716414347729,0.0006540185221297451
