task,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
mid_roll2_rel12,original18__gpu_curve_net,clinical_ridge,194,-0.0664160401002507,-0.17536418112942173,0.03790938259356655,-0.03166090613029443,-0.1203776786826131,0.056007109024461064,0.014039672567098288,-0.005840294855925178,0.03354942818207355
mid_roll2_rel12,noapex__transmural_sparse,clinical_ridge,194,-0.04213659147869686,-0.13951260921777298,0.05310651972044382,-0.031140611034942423,-0.1299296983731526,0.04129364889889259,-0.0048483577428745095,-0.021430242439517286,0.011616830086009835
mid_roll2_rel12,noapex__variability_sparse,clinical_ridge,194,-0.09570802005012546,-0.16396495884982726,-0.02268643388447782,-0.03782403879892196,-0.11365804551670308,0.034132544269857616,0.003916645631751092,-0.008960631831715618,0.01639563212934261
mid_roll2_rel12,noapex__combined_trees,clinical_ridge,194,-0.09367167919799502,-0.19606731827986193,0.009385663677601038,-0.04072455759248883,-0.13178070289748442,0.03923351328613823,-0.0428281391062974,-0.07094147214874268,-0.015036868075389096
mid_roll2_rel12,noapex__gpu_curve_net,clinical_ridge,194,-0.1256265664160402,-0.22561693750812925,-0.026345493860159077,-0.06808930597533058,-0.16718021455785798,-0.010287381056793169,0.0208605833090659,0.0021304020995835406,0.038619161092676185
mid_roll2_rel12,noapex_fixed_qc__transmural_sparse,clinical_ridge,194,-0.0899122807017545,-0.18168254931140349,-0.0031806880779771058,-0.04893850823120377,-0.14298353037012923,0.01119783305416066,0.0029040684917999438,-0.011691127423750282,0.019046393130661716
mid_roll2_rel12,noapex_fixed_qc__variability_sparse,clinical_ridge,194,-0.06735588972431084,-0.15032142857142852,0.011734586382789977,-0.028461906996078618,-0.09791177935764911,0.04020751262000863,0.00044137420563797325,-0.014627696289395585,0.014614408373460213
mid_roll2_rel12,noapex_fixed_qc__combined_trees,clinical_ridge,194,-0.06296992481203023,-0.1701882727613339,0.04441704213185816,-0.029716126461609343,-0.11296734362804739,0.046548184620105786,-0.04575143627102629,-0.07249988344181418,-0.01704770967376205
mid_roll2_rel12,noapex_fixed_qc__gpu_curve_net,clinical_ridge,194,-0.12742794486215547,-0.22966570422542268,-0.026150626999811744,-0.06364855275008655,-0.15336309812196924,0.0051643054313027,0.01228178522824025,-0.00992423473028094,0.032910679811703536
mid_roll2_rel12,noapex_shape_qc__transmural_sparse,clinical_ridge,194,-0.09194862155388484,-0.180806094158367,-0.006973321005625676,-0.04991148678356461,-0.1401303963909631,0.014690042921183318,0.007464563834617188,-0.010598346897304314,0.024983916650426954
