task,model,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high
mid_roll2_rel15,noapex__combined_trees,194,29,0.14948453608247422,0.5086729362591431,0.18433118252839434,0.1436088165593019,0.2413793103448276,0.1794871794871795,0.39155951146117113,0.6313017028211756,0.11397915468958073,0.3182989147923949,0.11972063541631908,0.17298873395846986
mid_roll2_rel20,noapex__transmural_sparse,194,13,0.06701030927835051,0.43731406714832133,0.1326578587771074,0.15976334739251793,0.07692307692307693,0.02564102564102564,0.3004421264910911,0.580454211633406,0.0377238950718599,0.3057398724487522,0.1412583327197547,0.18289560339400707
mid_roll2_rel20,noapex__variability_sparse,194,13,0.06701030927835051,0.4959626009349767,0.0669665448876268,0.20336321158465834,0.07692307692307693,0.02564102564102564,0.355933552951178,0.6242836944476288,0.03778338863918934,0.1240545134119139,0.18281812141316225,0.2245953027628262
mid_roll2_rel20,noapex__combined_trees,194,13,0.06701030927835051,0.3782405439864004,0.055264620544092605,0.08091868179464859,0.07692307692307693,0.02564102564102564,0.23988692145124488,0.5429553049289891,0.03203316877771714,0.10285418824985447,0.055491340029596915,0.1082393233965216
mid_first_rel10,noapex__gpu_curve_net,211,65,0.3080568720379147,0.5890937829293994,0.3845375102973929,0.24018677730339358,0.27692307692307694,0.4186046511627907,0.5049162726358148,0.6720479242979241,0.29419623909870485,0.5167148126260068,0.2329984835406036,0.24722414481421262
mid_first_rel12,noapex__gpu_curve_net,225,58,0.2577777777777778,0.5819739830683461,0.30931308743067654,0.24035209177636807,0.22413793103448276,0.28888888888888886,0.4986078532440053,0.6652553912612151,0.23226878451927374,0.43601268430014684,0.2327656359025177,0.24814005387490307
mid_first_rel15,noapex__gpu_curve_net,238,49,0.20588235294117646,0.5555015657056473,0.23342440077598434,0.24135164298861955,0.1836734693877551,0.1875,0.46711213421831665,0.6388108068712232,0.17315556905806775,0.3495020178499853,0.23281445866436662,0.24990916046465322
mid_first_rel20,noapex__gpu_curve_net,262,29,0.11068702290076336,0.5472103004291845,0.13905326917154429,0.23948988984605085,0.20689655172413793,0.11320754716981132,0.43774494222355187,0.666893665072828,0.08848818978005196,0.2566580276562246,0.23001519907827386,0.24893602525763114
mid_roll2_rel10,noapex__gpu_curve_net,194,51,0.26288659793814434,0.4578362813656931,0.24188122911909082,0.25064589546829086,0.13725490196078433,0.1794871794871795,0.36994212984779024,0.5395966118492105,0.18726966543861634,0.33227094611266283,0.24168903809749281,0.25913331900965075
mid_roll2_rel12,noapex__gpu_curve_net,194,42,0.21649484536082475,0.4755639097744361,0.20178176865941533,0.25374583959556,0.14285714285714285,0.15384615384615385,0.37548918430114336,0.5744579064407512,0.14870607802422456,0.278548482829158,0.24469816173772652,0.2641572529492416
mid_roll2_rel15,noapex__gpu_curve_net,194,29,0.14948453608247422,0.4993730407523511,0.15339859587480675,0.24232308996280172,0.13793103448275862,0.10256410256410256,0.39753250971801646,0.608184750490698,0.1054569819546814,0.25501460017743977,0.23409779484779988,0.25032931359960586
mid_roll2_rel20,noapex__gpu_curve_net,194,13,0.06701030927835051,0.5076498087547812,0.06915823039042153,0.23705775299635456,0.07692307692307693,0.02564102564102564,0.3575330905173988,0.6404822979708952,0.0400063957327079,0.11973348137099135,0.2273181801928413,0.24666474161377525
mid_first_rel10,noapex_fixed_qc__transmural_sparse,211,65,0.3080568720379147,0.6939936775553215,0.534019264595682,0.21847010512572823,0.3384615384615385,0.5116279069767442,0.615518307173171,0.7716066299389686,0.4239671972714365,0.6467933081084343,0.2002780564838296,0.23706364770824637
mid_first_rel10,noapex_fixed_qc__variability_sparse,211,65,0.3080568720379147,0.7079030558482613,0.5048608718140258,0.21542392353784856,0.3384615384615385,0.5116279069767442,0.6327007839303854,0.7828637707323072,0.4050613089132759,0.6306836584467784,0.19526003035254785,0.2344953654031922
mid_first_rel10,noapex_fixed_qc__combined_trees,211,65,0.3080568720379147,0.6269757639620654,0.436212776226458,0.214196259280982,0.3230769230769231,0.4883720930232558,0.5416211979590073,0.7053045093875459,0.3425186227177869,0.5770824498574433,0.1917094082683708,0.2393841134104469
mid_first_rel12,noapex_fixed_qc__transmural_sparse,225,58,0.2577777777777778,0.577121618831303,0.31271979955835355,0.24433228213484529,0.27586206896551724,0.35555555555555557,0.4880602558730812,0.6587307239237524,0.23882127128740824,0.4352405558937596,0.2258806289844478,0.26541579032439855
mid_first_rel12,noapex_fixed_qc__variability_sparse,225,58,0.2577777777777778,0.6239933925252942,0.3307649643482811,0.2352382701871263,0.3103448275862069,0.4,0.5422168823029885,0.7085292577438763,0.2546289626942539,0.4633762325576551,0.21602722564237647,0.25315283579279513
mid_first_rel12,noapex_fixed_qc__combined_trees,225,58,0.2577777777777778,0.5832128845756763,0.30568712365711154,0.2075593860162423,0.29310344827586204,0.37777777777777777,0.4963636078046105,0.6677640555646884,0.23231512095632528,0.4060992462265413,0.18288240466054792,0.23470093053430469
mid_first_rel15,noapex_fixed_qc__transmural_sparse,238,49,0.20588235294117646,0.601878846776806,0.25410726399852035,0.23798206791531376,0.30612244897959184,0.3125,0.5151268950382898,0.6901365622113663,0.19044707511510378,0.35819002643731024,0.216909990683661,0.2580001609000546
mid_first_rel15,noapex_fixed_qc__variability_sparse,238,49,0.20588235294117646,0.5903250188964475,0.2410868885387101,0.24365980879476262,0.20408163265306123,0.20833333333333334,0.4952974089379982,0.6890566190785204,0.17752019911346797,0.3418085419905855,0.22127191837870613,0.2653778762877874
