task,comparison,reference_model,candidate_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high
mid_roll2_rel15,remove_apex__combined_trees,original18__combined_trees,noapex__combined_trees,194,-0.0549634273772206,-0.18364856629823975,0.06188964370836382,-0.021642951890190193,-0.09377760950322574,0.038232021730782655
mid_roll2_rel15,fixed_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_fixed_qc__combined_trees,194,0.033228840125391956,-0.03217133743449535,0.10851095195886186,-0.001723598514871194,-0.042016545435075194,0.027722219486684206
mid_roll2_rel15,shape_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_shape_qc__combined_trees,194,-0.006269592476489061,-0.08298519587184522,0.05967818590107436,-0.0064333160141056,-0.0633060044318055,0.04358603694435418
mid_roll2_rel15,remove_apex__gpu_curve_net,original18__gpu_curve_net,noapex__gpu_curve_net,194,-0.03740856844305118,-0.139541769784964,0.05874327873657159,-0.013043450359294328,-0.10271662314659984,0.06152237081428794
mid_roll2_rel15,fixed_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_fixed_qc__gpu_curve_net,194,0.004806687565308332,-0.05535472632989126,0.055232252840799474,0.003606083520758835,-0.034724636898521725,0.03484354655732408
mid_roll2_rel15,shape_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_shape_qc__gpu_curve_net,194,0.048589341692789945,-0.01778673835125448,0.11322821510897613,0.00872503282295406,-0.033885108269542503,0.04300994166887896
mid_roll2_rel20,remove_apex__transmural_sparse,original18__transmural_sparse,noapex__transmural_sparse,194,-0.1619209519762006,-0.3027196436875145,-0.02995575121599724,0.034725004458784015,-0.06959097119245591,0.13706267662223473
mid_roll2_rel20,fixed_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_fixed_qc__transmural_sparse,194,-0.02337441563960907,-0.09774325183719615,0.040119648188651054,-0.0022764563481421363,-0.014368599490009765,0.004441048930777551
mid_roll2_rel20,shape_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_shape_qc__transmural_sparse,194,-0.00424989375265622,-0.10946048632218836,0.12759000118422606,-0.07344847965655496,-0.21806847695573023,0.011765340245746535
mid_roll2_rel20,remove_apex__variability_sparse,original18__variability_sparse,noapex__variability_sparse,194,0.06459838504037402,-0.05376813903323861,0.2068140837150384,0.0076109087293495595,-0.011087741303428655,0.04333461511119186
mid_roll2_rel20,fixed_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_fixed_qc__variability_sparse,194,-0.009349766255843606,-0.0741176745339821,0.04521731522956323,0.0009195704997492504,-0.009816644970787715,0.025416922772431752
mid_roll2_rel20,shape_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_shape_qc__variability_sparse,194,-0.031024224394390232,-0.11709312193183162,0.05466015020016953,-0.0032910015551443628,-0.02653020214037923,0.019628104688947202
mid_roll2_rel20,remove_apex__combined_trees,original18__combined_trees,noapex__combined_trees,194,-0.016574585635359074,-0.22967481293448147,0.15966277472527476,-0.0013826281039604482,-0.037590169923527005,0.024525808017119375
mid_roll2_rel20,fixed_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_fixed_qc__combined_trees,194,0.0055248618784530246,-0.10287498489790986,0.11577671421421422,-0.0004182344391746931,-0.017664851551768824,0.015604842849526597
mid_roll2_rel20,shape_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_shape_qc__combined_trees,194,-0.017849553761156045,-0.10346904538893487,0.07484537529389487,-0.0022574692537145127,-0.015583907744293872,0.008689394654162257
mid_roll2_rel20,remove_apex__gpu_curve_net,original18__gpu_curve_net,noapex__gpu_curve_net,194,-0.020186995325116808,-0.11206006577690443,0.07622149221044248,-0.004852180976223919,-0.04410512987461429,0.01762843142199322
mid_roll2_rel20,fixed_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_fixed_qc__gpu_curve_net,194,0.04398640033999146,-0.057152476912552756,0.13685270767006907,0.00836023286114522,-0.008225290017081055,0.034018975846943696
mid_roll2_rel20,shape_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_shape_qc__gpu_curve_net,194,0.10135996600084995,-0.009270399184958833,0.20903416854339146,0.016214329455489937,-0.004842646828670416,0.04420963925475554
