policy,feature_set,feature
noapex_fixed_qc,combined,history_visits
noapex_fixed_qc,combined,days_since_first
noapex_fixed_qc,combined,days_since_previous
noapex_fixed_qc,combined,has_previous_visit
noapex_fixed_qc,combined,current_mid_gls
noapex_fixed_qc,combined,current_endo_gls
noapex_fixed_qc,combined,current_ef
noapex_fixed_qc,combined,first_mid_gls
noapex_fixed_qc,combined,first_endo_gls
noapex_fixed_qc,combined,first_ef
noapex_fixed_qc,combined,current_mid_decline_from_first
noapex_fixed_qc,combined,current_endo_decline_from_first
noapex_fixed_qc,combined,current_ef_decline_from_first
noapex_fixed_qc,combined,last_mid_relative_change
noapex_fixed_qc,combined,last_endo_relative_change
noapex_fixed_qc,combined,last_ef_relative_change
noapex_fixed_qc,combined,mid_decline_slope_per_100d
noapex_fixed_qc,combined,endo_decline_slope_per_100d
noapex_fixed_qc,combined,ef_decline_slope_per_100d
noapex_fixed_qc,combined,current_endo_mid_gap
noapex_fixed_qc,combined,last_endo_mid_gap_change
noapex_fixed_qc,combined,current_mid_decline_from_roll2
noapex_fixed_qc,combined,current_endo_decline_from_roll2
noapex_fixed_qc,combined,current_ef_decline_from_roll2
noapex_fixed_qc,combined,current_mid_decline_from_roll3
noapex_fixed_qc,combined,current_endo_decline_from_roll3
noapex_fixed_qc,combined,current_ef_decline_from_roll3
noapex_fixed_qc,combined,cur_tm_paired_segments
noapex_fixed_qc,combined,d_tm_paired_segments
noapex_fixed_qc,combined,cur_tm_peak_layer_correlation
noapex_fixed_qc,combined,d_tm_peak_layer_correlation
noapex_fixed_qc,combined,cur_tm_ttp_layer_correlation
noapex_fixed_qc,combined,d_tm_ttp_layer_correlation
noapex_fixed_qc,combined,cur_tm_fraction_endo_peak_gt_mid
noapex_fixed_qc,combined,d_tm_fraction_endo_peak_gt_mid
noapex_fixed_qc,combined,cur_tm_fraction_ttp_discordant_gt_5pct_cycle
noapex_fixed_qc,combined,d_tm_fraction_ttp_discordant_gt_5pct_cycle
noapex_fixed_qc,combined,cur_tm_peak_gap_mean
noapex_fixed_qc,combined,d_tm_peak_gap_mean
noapex_fixed_qc,combined,cur_tm_peak_gap_median
noapex_fixed_qc,combined,d_tm_peak_gap_median
noapex_fixed_qc,combined,cur_tm_peak_gap_std
noapex_fixed_qc,combined,d_tm_peak_gap_std
noapex_fixed_qc,combined,cur_tm_peak_gap_robust_sd
noapex_fixed_qc,combined,d_tm_peak_gap_robust_sd
noapex_fixed_qc,combined,cur_tm_peak_gap_iqr
noapex_fixed_qc,combined,d_tm_peak_gap_iqr
noapex_fixed_qc,combined,cur_tm_peak_ratio_mean
noapex_fixed_qc,combined,d_tm_peak_ratio_mean
noapex_fixed_qc,combined,cur_tm_peak_ratio_median
noapex_fixed_qc,combined,d_tm_peak_ratio_median
noapex_fixed_qc,combined,cur_tm_peak_ratio_std
noapex_fixed_qc,combined,d_tm_peak_ratio_std
noapex_fixed_qc,combined,cur_tm_peak_ratio_robust_sd
noapex_fixed_qc,combined,d_tm_peak_ratio_robust_sd
noapex_fixed_qc,combined,cur_tm_peak_ratio_iqr
noapex_fixed_qc,combined,d_tm_peak_ratio_iqr
noapex_fixed_qc,combined,cur_tm_ttp_gap_mean
noapex_fixed_qc,combined,d_tm_ttp_gap_mean
noapex_fixed_qc,combined,cur_tm_ttp_gap_median
noapex_fixed_qc,combined,d_tm_ttp_gap_median
noapex_fixed_qc,combined,cur_tm_ttp_gap_std
noapex_fixed_qc,combined,d_tm_ttp_gap_std
noapex_fixed_qc,combined,cur_tm_ttp_gap_robust_sd
noapex_fixed_qc,combined,d_tm_ttp_gap_robust_sd
noapex_fixed_qc,combined,cur_tm_ttp_gap_iqr
noapex_fixed_qc,combined,d_tm_ttp_gap_iqr
noapex_fixed_qc,combined,cur_tm_curve_rms_mean
noapex_fixed_qc,combined,d_tm_curve_rms_mean
noapex_fixed_qc,combined,cur_tm_curve_rms_median
noapex_fixed_qc,combined,d_tm_curve_rms_median
noapex_fixed_qc,combined,cur_tm_curve_rms_std
noapex_fixed_qc,combined,d_tm_curve_rms_std
noapex_fixed_qc,combined,cur_tm_curve_rms_robust_sd
noapex_fixed_qc,combined,d_tm_curve_rms_robust_sd
