task,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
endo_roll2_rel15,clinical_plus_transmural_sparse,clinical_ridge,194,0.005392156862745079,-0.10131029348498305,0.1115308977374098,-0.05012930998132026,-0.17988652952852813,0.07344588772210059,-0.02254278950121255,-0.04030061418756463,-0.004288989395776288
endo_roll2_rel15,clinical_plus_variability_sparse,clinical_ridge,194,-0.07892156862745103,-0.1789150677295092,0.002231620718462817,-0.08500031172491262,-0.18808817903141503,-0.01325172268975654,0.003698125884150333,-0.010328299458300836,0.01905331809448051
endo_roll2_rel15,combined_extra_trees,clinical_ridge,194,-0.07377450980392153,-0.21659185470196946,0.07257187730968195,-0.09320336429418774,-0.2358784907497901,0.0207439555798185,-0.09140092398785109,-0.11708431169490711,-0.061783339264260995
endo_roll2_rel15,gpu_segment_curve_net,clinical_ridge,194,-0.0776960784313725,-0.21215382206181013,0.0743826232247284,-0.10925256680228063,-0.2447362576026521,0.019341922083114364,0.01543024089999212,-0.003927114559547728,0.03474846728478061
endo_roll3_rel15,clinical_plus_transmural_sparse,clinical_ridge,93,-0.14417989417989419,-0.40476333907056805,0.059445246848739496,-0.09227063302718974,-0.33613021349422717,0.015177954327218515,0.02737021638982237,0.003690506688854769,0.05225218302038219
endo_roll3_rel15,clinical_plus_variability_sparse,clinical_ridge,93,-0.21164021164021163,-0.4397574120009449,0.004528743315507901,-0.09781381275202035,-0.2669296633775724,-0.00699893884782332,0.044740660069149035,0.020057805755515738,0.0670576923439802
endo_roll3_rel15,combined_extra_trees,clinical_ridge,93,-0.2738095238095238,-0.5002873563218392,-0.007208508403361445,-0.10196733112393924,-0.34047907282188994,0.07965550725699255,-0.08982905646216899,-0.13968121704195355,-0.036428710382714745
endo_roll3_rel15,gpu_segment_curve_net,clinical_ridge,93,-0.12698412698412698,-0.3585666308645435,0.12503591954023008,0.07591191984364976,-0.256226673335786,0.3826227952703545,0.008277391112590848,-0.02235172110486574,0.03807993549382984
ef_first_rel10,clinical_plus_transmural_sparse,clinical_ridge,231,-0.12451861360718874,-0.22348187603980285,-0.03345314407814394,-0.10452741460786563,-0.20202765023434258,-0.032204648126291514,0.012150491785660827,-0.0038981363474275854,0.028756889788529732
ef_first_rel10,clinical_plus_variability_sparse,clinical_ridge,231,-0.10718870346598208,-0.16588333533809135,-0.050089076191717624,-0.07423191869549031,-0.15301625226152402,-0.015738746164613505,0.016970211528423623,0.004893395040294992,0.028334411876214365
