outcome,model,feature_set,n_features,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,alerts_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high,sensitivity_top20pct_ci_low,sensitivity_top20pct_ci_high,precision_top20pct_ci_low,precision_top20pct_ci_high
mid_gls_relative_drop_20,combined_extra_trees,combined,365,101,11,0.10891089108910891,0.4939393939393939,0.11334906758348096,0.11070983758764685,0.09090909090909091,0.047619047619047616,21,0.3175359354268023,0.6629739303702884,0.059111543421658516,0.21648735582624865,0.0728132493156839,0.15237664154419775,0.0,0.3752403846153844,0.0,0.19047619047619047
mid_gls_absolute_drop_2p9,clinical_ridge,clinical,12,101,28,0.27722772277227725,0.7089041095890412,0.4485979626971122,0.18718937976481898,0.39285714285714285,0.5238095238095238,21,0.6020475543478261,0.8120109750181906,0.31035639254813874,0.6510017608485285,0.15645152700343926,0.21639445220008935,0.22727272727272727,0.5556666666666666,0.2857142857142857,0.7142857142857143
mid_gls_absolute_drop_2p9,transmural_only_sparse,transmural,245,101,28,0.27722772277227725,0.7128180039138944,0.4863650578834701,0.1797210194572627,0.35714285714285715,0.47619047619047616,21,0.6004114299678815,0.8183347193347192,0.33538385641162816,0.680656245338225,0.14841526557369505,0.21159627072721646,0.18518518518518517,0.5152037617554859,0.23809523809523808,0.7142857142857143
mid_gls_absolute_drop_2p9,variability_only_sparse,variability,108,101,28,0.27722772277227725,0.7568493150684932,0.5525210137194146,0.17166060828288987,0.42857142857142855,0.5714285714285714,21,0.6441567645231437,0.8534627706584181,0.37613511541548256,0.7471659483670532,0.1427899926822195,0.20219787968818234,0.2691176470588235,0.5789898132427843,0.3333333333333333,0.7619047619047619
mid_gls_absolute_drop_2p9,clinical_plus_transmural,clinical_plus_transmural,257,101,28,0.27722772277227725,0.6819960861056752,0.44160411362148017,0.18733408461967158,0.32142857142857145,0.42857142857142855,21,0.5640144863915716,0.7908525345622119,0.2999644706211043,0.6282234437776617,0.15481977879937997,0.22528972426438396,0.2,0.48148148148148145,0.23809523809523808,0.6666666666666666
mid_gls_absolute_drop_2p9,clinical_plus_variability,clinical_plus_variability,120,101,28,0.27722772277227725,0.7309197651663405,0.5046809348191368,0.17727334951856488,0.32142857142857145,0.42857142857142855,21,0.6267085134178205,0.8222385428907167,0.3568248203036555,0.6745456196488572,0.14979040128630525,0.20812753400364623,0.18181818181818182,0.4831896551724134,0.23809523809523808,0.6666666666666666
mid_gls_absolute_drop_2p9,combined_sparse,combined,365,101,28,0.27722772277227725,0.7177103718199609,0.42833244220236527,0.1829214060544306,0.32142857142857145,0.42857142857142855,21,0.6088609570940563,0.8189323357801618,0.30141670738592957,0.6352355977356217,0.14839246452910934,0.21860686996097253,0.14812091503267974,0.5,0.19047619047619047,0.6666666666666666
mid_gls_absolute_drop_2p9,combined_extra_trees,combined,365,101,28,0.27722772277227725,0.7773972602739725,0.590431880929785,0.16795487174824647,0.42857142857142855,0.5714285714285714,21,0.6755601958525346,0.8615907557354926,0.399110546589658,0.7622598945091456,0.14033240448134265,0.19924802811198233,0.2413448275862069,0.5625,0.2857142857142857,0.7619047619047619
endo_gls_relative_drop_10,clinical_ridge,clinical,12,101,45,0.44554455445544555,0.7178571428571429,0.6774887626052705,0.22209034461151064,0.3333333333333333,0.7142857142857143,21,0.6028977882726484,0.8200288297150057,0.5416656008127514,0.8124908603117801,0.2012433859186248,0.24430007370211315,0.249890350877193,0.4186046511627907,0.5238095238095238,0.9047619047619048
endo_gls_relative_drop_10,transmural_only_sparse,transmural,245,101,45,0.44554455445544555,0.5527777777777778,0.4985155551248785,0.26029691964532686,0.2,0.42857142857142855,21,0.4471828211189913,0.6660287641158452,0.3794140054112514,0.6568452415356083,0.22645599867718044,0.2928707979869875,0.125,0.3055555555555556,0.23809523809523808,0.6666666666666666
