outcome,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
endo_gls_relative_drop_15,variability_only_sparse,clinical_ridge,101,-0.024461839530332652,-0.16872240802675578,0.1217123315382964,-0.031582728957806505,-0.17602360415982823,0.12429494990559023,-0.002654773093324153,-0.022227194833881213,0.016773900796703302
endo_gls_relative_drop_15,clinical_plus_transmural,clinical_ridge,101,-0.013209393346379605,-0.1562454340890526,0.10952289494543004,-0.035032951450198635,-0.1808639874849943,0.08729501758600876,-0.005711709468001036,-0.023932982902740894,0.012878113276039993
endo_gls_relative_drop_15,clinical_plus_variability,clinical_ridge,101,-0.017123287671232834,-0.15472276581865635,0.1255573593073592,-0.007342656805078285,-0.15034999596897108,0.12584483079779912,-0.007143813089943857,-0.02443817827844552,0.010216978480094958
endo_gls_relative_drop_15,combined_sparse,clinical_ridge,101,-0.08904109589041098,-0.20714902186421172,0.03458404056230146,-0.05812597755419252,-0.19832422332401148,0.057588082138141365,0.006598272180668774,-0.013064295452267017,0.027525780670756502
endo_gls_relative_drop_15,combined_extra_trees,clinical_ridge,101,0.011252446183953047,-0.09866688770999121,0.12222533213912513,0.011936321544926243,-0.11783842260976025,0.14170353533713753,-0.0040982478187011895,-0.02283843034074079,0.015287301748788677
ef_absolute_drop_5,transmural_only_sparse,clinical_ridge,95,-0.3355629877369009,-0.5006595881595881,-0.1677234299516908,-0.3036611171836453,-0.5048968280876732,-0.09898353983911701,0.07438281325683177,0.038248880883969015,0.10955681007586596
ef_absolute_drop_5,variability_only_sparse,clinical_ridge,95,-0.13489409141583053,-0.274014881683452,0.008738277919863585,-0.22282491675833815,-0.40607537538017324,-0.003577287775625669,0.048029526489864666,0.008233274237208198,0.09258548821129331
ef_absolute_drop_5,clinical_plus_transmural,clinical_ridge,95,-0.13322185061315506,-0.2748467084639499,0.01411118224498513,-0.1908581946809909,-0.3607381047951116,-0.0027316965447560133,0.03219157397283687,0.004588198513729155,0.05857247407574082
ef_absolute_drop_5,clinical_plus_variability,clinical_ridge,95,-0.05741360089186187,-0.15800326797385617,0.03388729763387306,-0.1184572461351926,-0.27979067133846436,0.04460304671121124,0.02215798061198168,-0.0027290269060279747,0.05159643319028535
ef_absolute_drop_5,combined_sparse,clinical_ridge,95,-0.14158305462653298,-0.2697368869936034,0.002649721474089991,-0.1493193723385038,-0.3152269307482383,0.037480229829560556,0.03683169309576678,0.0009902361184390193,0.07382662961151881
ef_absolute_drop_5,combined_extra_trees,clinical_ridge,95,-0.050724637681159535,-0.17403333333333326,0.07488314825271347,-0.0790328995164673,-0.22501791249258904,0.10594325626983458,0.018749598432961895,-0.007996640255982557,0.044142670936774826
ef_absolute_drop_7,transmural_only_sparse,clinical_ridge,95,-0.134493670886076,-0.2879879123646436,0.03293210854186459,-0.06825983528787033,-0.33263225830574933,0.2116145449324845,0.00424753134011438,-0.02640385263453867,0.03541115209052984
ef_absolute_drop_7,variability_only_sparse,clinical_ridge,95,0.03401898734177211,-0.1684831426110496,0.26353701458527407,-0.05207479912145285,-0.29737819482577865,0.17862848829006095,0.008995361020018855,-0.03380094148271226,0.04791713861132454
