model,repeat,fold,channel_index,channel,weight
mantis_v2_adapter_curves_scalars,2,1,5,change_mid,0.1666235476732254
mantis_v2_adapter_curves_scalars,2,1,6,change_endo_minus_mid,0.16661928594112396
mantis_v2_adapter_curves,2,2,1,current_endo,0.16007840633392334
mantis_v2_adapter_curves,2,2,2,current_mid,0.15976384282112122
mantis_v2_adapter_curves,2,2,3,current_endo_minus_mid,0.15411056578159332
mantis_v2_adapter_curves,2,2,4,change_endo,0.17919255793094635
mantis_v2_adapter_curves,2,2,5,change_mid,0.17713388800621033
mantis_v2_adapter_curves,2,2,6,change_endo_minus_mid,0.16972075402736664
mantis_v2_adapter_curves_scalars,2,2,1,current_endo,0.16626732051372528
mantis_v2_adapter_curves_scalars,2,2,2,current_mid,0.16787706315517426
mantis_v2_adapter_curves_scalars,2,2,3,current_endo_minus_mid,0.15929675102233887
mantis_v2_adapter_curves_scalars,2,2,4,change_endo,0.17271830141544342
mantis_v2_adapter_curves_scalars,2,2,5,change_mid,0.17085689306259155
mantis_v2_adapter_curves_scalars,2,2,6,change_endo_minus_mid,0.16298367083072662
mantis_v2_adapter_curves,2,3,1,current_endo,0.17050687968730927
mantis_v2_adapter_curves,2,3,2,current_mid,0.16971704363822937
mantis_v2_adapter_curves,2,3,3,current_endo_minus_mid,0.1556156426668167
mantis_v2_adapter_curves,2,3,4,change_endo,0.1795901358127594
mantis_v2_adapter_curves,2,3,5,change_mid,0.1745636761188507
mantis_v2_adapter_curves,2,3,6,change_endo_minus_mid,0.15000663697719574
mantis_v2_adapter_curves_scalars,2,3,1,current_endo,0.16591337323188782
mantis_v2_adapter_curves_scalars,2,3,2,current_mid,0.16829967498779297
mantis_v2_adapter_curves_scalars,2,3,3,current_endo_minus_mid,0.1601356416940689
mantis_v2_adapter_curves_scalars,2,3,4,change_endo,0.17626254260540009
mantis_v2_adapter_curves_scalars,2,3,5,change_mid,0.16672268509864807
mantis_v2_adapter_curves_scalars,2,3,6,change_endo_minus_mid,0.16266606748104095
mantis_v2_adapter_curves,2,4,1,current_endo,0.1676563024520874
mantis_v2_adapter_curves,2,4,2,current_mid,0.16555777192115784
mantis_v2_adapter_curves,2,4,3,current_endo_minus_mid,0.15742504596710205
mantis_v2_adapter_curves,2,4,4,change_endo,0.1734926700592041
mantis_v2_adapter_curves,2,4,5,change_mid,0.17075371742248535
mantis_v2_adapter_curves,2,4,6,change_endo_minus_mid,0.16511450707912445
mantis_v2_adapter_curves_scalars,2,4,1,current_endo,0.163103386759758
mantis_v2_adapter_curves_scalars,2,4,2,current_mid,0.16215616464614868
mantis_v2_adapter_curves_scalars,2,4,3,current_endo_minus_mid,0.15861693024635315
mantis_v2_adapter_curves_scalars,2,4,4,change_endo,0.17680098116397858
mantis_v2_adapter_curves_scalars,2,4,5,change_mid,0.17360644042491913
mantis_v2_adapter_curves_scalars,2,4,6,change_endo_minus_mid,0.1657160520553589
