endpoint,baseline_endpoint_control,feature,n_patients,standardized_beta_feature,bootstrap_ci_low,bootstrap_ci_high,permutation_p,loocv_base_rmse,loocv_extended_rmse,loocv_delta_rmse_extended_minus_base,loocv_base_mae,loocv_extended_mae,loocv_delta_mae_extended_minus_base,loocv_extended_prediction_spearman,fdr_q,primary_holm_p
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_curve_integrated_robust_mad,97,0.07348127641059302,-0.12702450306440757,0.25185878688008534,0.43171365726854627,5.872349863738136,5.926275223998462,0.053925360260326016,4.349219246055533,4.376928520747376,0.027709274691843255,0.2098037733221902,0.7368126374725055,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_shape_dispersion_rms,97,-0.0035214412096392644,-0.2144967936737925,0.19448036097756766,0.9718056388722256,5.872349863738136,5.944482697617667,0.07213283387953062,4.349219246055533,4.411169575349514,0.06195032929398092,0.1875478732063765,0.9718056388722256,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_shape_incoherence,97,0.043233392669553186,-0.17458365131480566,0.26591557904186347,0.6734653069386123,5.872349863738136,5.954434219848657,0.08208435611052067,4.349219246055533,4.399791390653427,0.050572144597894386,0.20307111697991748,0.8208540110159788,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_latent_pairwise_mean,97,0.03562517585645353,-0.15069616492269264,0.21626222071004977,0.7074585082983403,5.872349863738136,5.943529730509296,0.07117986677115962,4.349219246055533,4.405887981488409,0.05666873543287565,0.19407013403795326,0.8208540110159788,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_apical_basal_peak_gradient,97,-0.12463747871810923,-0.3306704460531982,0.21454389260379694,0.2461507698460308,5.872349863738136,5.919624761420852,0.04727489768271642,4.349219246055533,4.412809448216806,0.06359020216127309,0.16561414121631612,0.6564020529227488,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_impaired_segment_fraction_lt15,97,0.15607260543385196,-0.20932285003680948,0.5596173197986227,0.36312737452509497,5.872349863738136,5.921372230694471,0.04902236695633544,4.349219246055533,4.356250931698351,0.007031685642817642,0.19424765525010304,0.6895851598910987,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_within_view_peak_robust_sd_mean,97,0.17679801476271473,-0.009131652757863727,0.3511955026583776,0.054989002199560086,5.872349863738136,5.8076269115690815,-0.06472295216905444,4.349219246055533,4.272724585532601,-0.07649466052293175,0.24810890598828483,0.2697060587882424,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_within_ring_peak_robust_sd_mean,97,0.23087822125424076,0.009891651953106125,0.3983560996317606,0.01199760047990402,5.872349863738136,5.688039670165419,-0.18431019357271694,4.349219246055533,4.3225495794351945,-0.02666966662033854,0.23747735783842644,0.2697060587882424,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_spatial_peak_graph_roughness,97,0.17728298850844146,-0.05975652561848285,0.38066753664508146,0.05538892221555689,5.872349863738136,5.817331836919073,-0.05501802681906298,4.349219246055533,4.292139505967914,-0.057079740087618625,0.2321845957724796,0.2697060587882424,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_spatial_timing_graph_roughness,97,0.04308550035713549,-0.14111690820527817,0.24316273195818264,0.642871425714857,5.872349863738136,5.932082764226635,0.05973290048849922,4.349219246055533,4.42068669005833,0.07146744400279736,0.19153223819018245,0.8208540110159788,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,mid_peak_abs_robust_sd,97,0.1719227311860851,-0.08894141389893626,0.3814147339840597,0.05618876224755049,5.872349863738136,5.83759939799035,-0.03475046574778595,4.349219246055533,4.346587282388778,-0.0026319636667553326,0.21641150732998715,0.2697060587882424,
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,mid_time_to_peak_norm_circular_std,97,0.08814569271674233,-0.1278853045760181,0.2815066378967102,0.3735252949410118,5.872349863738136,5.909365970392496,0.03701610665436039,4.349219246055533,4.391075975349992,0.04185672929445872,0.1953325071021294,0.6895851598910987,
