model,subgroup_variable,subgroup,n,events,prevalence,roc_auc,average_precision,sensitivity_at_global_top20,false_positive_rate_at_global_top20,precision_at_global_top20,mean_score,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high
existing_combined_trees,label_margin_group,3-8% from threshold,50,18,0.36,0.6128472222222222,0.4693792606748285,0.2777777777777778,0.25,0.38461538461538464,0.34011055517100147,0.47605158730158725,0.7501041666666666,0.3395492119602319,0.6758234403254402
existing_combined_trees,label_margin_group,>8% from threshold,157,16,0.10191082802547771,0.6919326241134751,0.16733689147164799,0.25,0.14184397163120568,0.16666666666666666,0.28266821180414464,0.5878266072350041,0.8004794442721299,0.0984075135579943,0.31980721752668834
existing_combined_trees,label_margin_group,within 3% of threshold,31,15,0.4838709677419355,0.5833333333333334,0.664316333591446,0.4,0.3125,0.5454545454545454,0.37238542334992225,0.3721875,0.8225868055555555,0.4266616021269154,0.87184701532128
attention_binary,history_group,current=V1,103,26,0.2524271844660194,0.6071428571428572,0.358926135540366,0.34615384615384615,0.2857142857142857,0.2903225806451613,0.49860022677572796,0.47573839662447254,0.7226884636447889,0.21611290690052304,0.5240009775936656
attention_binary,history_group,current>=V2,135,23,0.17037037037037037,0.7125388198757764,0.3137227966654266,0.17391304347826086,0.11607142857142858,0.23529411764705882,0.44702500001883805,0.5921443046636488,0.818066842635591,0.2145699307426286,0.4929370089728158
attention_binary,followup_interval_group,long,79,23,0.2911392405063291,0.6979813664596274,0.46386087511256846,0.21739130434782608,0.19642857142857142,0.3125,0.46698881503398904,0.5840401785714285,0.8146481259968101,0.30402293242325845,0.6600876135887959
attention_binary,followup_interval_group,middle,79,11,0.13924050632911392,0.6336898395721926,0.21434942448767336,0.36363636363636365,0.19117647058823528,0.23529411764705882,0.46282761811204104,0.44044776119402984,0.8160557682806323,0.10769139816065343,0.48089034943814335
attention_binary,followup_interval_group,short,80,15,0.1875,0.6994871794871795,0.3530931514395493,0.26666666666666666,0.16923076923076924,0.26666666666666666,0.4781087517738342,0.5557327212261423,0.8363894019312578,0.19070445058819624,0.5975288126580791
attention_binary,baseline_gls_group,baseline GLS <18,161,24,0.14906832298136646,0.7136557177615572,0.2804418333675952,0.20833333333333334,0.13138686131386862,0.21739130434782608,0.44593169822455936,0.6055953261797546,0.8125712582918739,0.18519759565431412,0.43809841498944635
attention_binary,baseline_gls_group,baseline GLS >=18,77,25,0.3246753246753247,0.5592307692307692,0.4030867796216353,0.32,0.3269230769230769,0.32,0.518301233068689,0.4224039152298851,0.6868972836694859,0.2706030385400611,0.5909095112549078
attention_binary,current_decline_group,5-10%,25,9,0.36,0.8541666666666667,0.8522875816993465,0.2222222222222222,0.0,1.0,0.4828352864583333,0.6551190476190476,1.0,0.6509728672170623,1.0
attention_binary,current_decline_group,<5%,190,35,0.18421052631578946,0.6681105990783409,0.30632426016163217,0.2571428571428571,0.18064516129032257,0.24324324324324326,0.45908254071285837,0.5742547216254923,0.7537467916226751,0.19401032927604908,0.4514807900158453
attention_binary,current_decline_group,>=10%,23,5,0.21739130434782608,0.5555555555555556,0.25996336996337,0.4,0.3888888888888889,0.2222222222222222,0.5394623245018115,0.33333333333333337,0.7771895424836601,0.12841206179441472,0.5578566704459563
