split,seed_index,shapelet_index,importance_abs_standardized_coefficient_sum,coef_minimum_distance,coef_best_match_location,coef_shapelet_occurrence,startpoint,length_points,dilation,effective_span,normalized,threshold,source_class,dominant_inputs
3,2,348,0.1708995889404385,-0.002888977891873007,-0.0973841968287447,-0.07062641421982079,78,11,1,11,False,3536.5615450282075,0,S01:current_endo;S15:current_endo;S01:current_mid;S10:current_endo;S07:current_endo
9,2,1166,0.17037071598298376,-0.013977622950774293,-0.04528890073509346,0.11110419229711599,37,11,1,11,False,7200.792571829934,1,S06:current_endo;S16:current_endo;S05:current_mid;S06:current_mid;S05:current_endo
4,2,1149,0.17035179252434074,-0.05188764822416994,0.04071127056059047,0.07775287373958034,16,11,1,11,True,627.7636273939804,1,S14:change_endo_minus_mid;S08:change_mid;S08:change_endo;S03:change_endo;S03:change_mid
7,2,606,0.17017343521382922,-0.06121904262089609,-0.053181807139857935,0.05577258545307519,38,11,1,11,True,1078.0537054548686,1,S05:change_endo;S18:change_endo_minus_mid;S05:change_mid;S11:current_endo_minus_mid;S05:current_endo_minus_mid
8,2,980,0.169774713037274,0.037490816188826694,0.03171656279926694,-0.10056733404918038,73,11,1,11,False,12887.02259525483,0,S06:current_endo;S06:current_mid;S13:change_mid;S07:current_endo;S05:change_endo
11,2,1079,0.16960832824612837,-0.05131009104785584,0.05306130933864137,0.06523692785963117,63,11,3,31,True,984.2742886028083,1,S13:change_endo;S13:change_mid;S04:change_endo_minus_mid;S07:change_endo_minus_mid;S16:change_endo
10,1,345,0.16925084109198943,-0.06540091941238155,-0.06452018193325218,0.0393297397463557,47,11,1,11,True,1086.220515349999,1,S01:change_mid;S01:change_endo;S02:current_endo;S04:change_endo;S04:change_mid
6,1,638,0.16921001631846255,0.0014542561204311348,-0.12341227289344343,-0.044343487304587974,72,11,1,11,False,12675.667291727217,0,S05:current_endo;S05:current_mid;S16:current_endo;S06:change_mid;S06:change_endo
8,0,143,0.16918629809109503,-0.06753981430625983,0.0052019154598147216,0.0964445683250205,35,11,2,21,True,1089.061466101651,1,S01:change_endo;S01:change_mid;S17:change_endo_minus_mid;S16:change_mid;S16:current_endo_minus_mid
3,0,96,0.1688990847439609,-0.025378902476450246,-0.13667572757977267,0.006844454687737988,50,11,1,11,True,1069.956785269108,0,S13:current_endo_minus_mid;S15:current_mid;S15:change_endo;S15:current_endo;S15:change_mid
3,1,814,0.16880590563553385,0.03626220901738408,0.04747822480916263,-0.08506547180898714,79,11,1,11,False,6012.569096315707,0,S17:current_endo;S08:current_endo;S06:current_endo;S09:current_endo;S06:current_mid
4,1,688,0.16865564181017706,0.020768107428061847,0.051820263309632145,-0.09606727107248306,68,11,1,11,False,10573.485619913787,1,S16:current_endo;S13:current_endo;S06:current_endo;S05:current_endo;S06:current_mid
10,1,166,0.1685784935088756,-0.0682456138949588,-0.043619946772257674,0.05671293284165913,56,11,1,11,True,780.4142533543314,1,S05:change_endo_minus_mid;S12:change_endo_minus_mid;S06:change_endo_minus_mid;S11:change_endo_minus_mid;S06:current_endo_minus_mid
3,1,313,0.16857203428944206,0.016639713179886623,-0.09791269987927018,0.05401962123028525,38,11,1,11,True,822.5240306521439,0,S18:change_mid;S14:change_endo_minus_mid;S18:change_endo;S09:change_mid;S05:current_endo_minus_mid
14,1,684,0.1684883348058921,-0.029015324218792674,-0.005019941883577716,0.1344530687035217,32,11,1,11,False,7737.529911608407,1,S05:current_endo;S05:current_mid;S13:current_endo;S14:current_endo;S13:current_mid
5,1,135,0.1681853695441065,-0.025904901801820247,0.05529387447339638,0.0869865932688899,74,11,2,21,True,879.6498256334095,0,S02:change_endo_minus_mid;S17:change_endo;S11:change_endo_minus_mid;S17:current_endo_minus_mid;S04:change_mid
13,0,397,0.16815491916847378,-0.052580353874268654,0.09895185321668523,0.016622712077519895,39,11,1,11,True,1121.818258910099,1,S02:current_endo_minus_mid;S07:change_mid;S04:change_endo_minus_mid;S04:change_mid;S04:change_endo
9,2,821,0.16787949897254384,-0.006269051567307871,0.11577969655128192,0.04583075085395404,36,11,2,21,True,893.2393821943361,0,S10:change_mid;S14:current_endo;S11:change_mid;S10:change_endo;S11:change_endo
6,1,199,0.16779413364864215,-0.04533449675196673,0.06705439501808559,0.05540524187858982,16,11,2,21,True,653.8834370243637,1,S12:change_endo;S12:change_mid;S08:change_mid;S02:change_mid;S08:change_endo
14,2,1010,0.16743759657750806,-0.010200067759558739,-0.03865979004928034,0.11857773876866899,12,11,5,51,False,6176.792396233616,1,S18:current_endo;S18:current_mid;S05:current_endo;S01:current_endo;S05:current_mid
6,0,961,0.16718642460125946,-0.033603164448972905,-0.11161346203548132,0.02196979811680525,35,11,1,11,True,842.1891078409175,1,S15:change_endo;S12:change_mid;S03:change_endo;S12:change_endo;S18:change_endo_minus_mid
11,2,313,0.16705543335553746,0.020181391928756617,-0.08444163055094611,-0.062432410875834725,63,11,1,11,True,1010.2599052205127,0,S18:change_endo_minus_mid;S11:change_endo_minus_mid;S14:current_mid;S15:change_endo_minus_mid;S09:change_endo_minus_mid
10,2,1052,0.16703224548234985,0.008410614072152971,-0.03614050065027785,-0.12248113075991901,63,11,3,31,False,13098.154520135176,0,S18:current_endo;S05:change_endo;S14:current_endo;S05:change_mid;S15:current_endo
11,0,316,0.16693090409200884,-0.02570078515901968,-0.06186887883020048,-0.07936124010278868,19,11,1,11,False,6474.85211941963,1,S01:current_endo;S07:current_endo;S01:current_mid;S07:current_mid;S17:current_endo
0,1,78,0.16692087244989448,-0.014726014946932185,-0.13674413084267822,-0.015450726660284088,75,11,1,11,True,1074.0408055531404,1,S13:change_mid;S15:current_endo;S13:current_mid;S04:change_mid;S04:change_endo
9,2,496,0.16688245927705847,0.05662044250594554,-0.038255442295050436,-0.0720065744760625,71,11,2,21,True,931.3173840025925,0,S04:change_endo_minus_mid;S03:change_endo_minus_mid;S12:change_endo_minus_mid;S11:change_endo_minus_mid;S10:change_endo_minus_mid
3,1,635,0.16577852187045383,-0.04271602595460097,0.0585742855687416,0.06448821034711126,48,11,2,21,True,1050.2350701600956,1,S07:change_endo;S07:change_mid;S15:change_endo_minus_mid;S03:change_endo_minus_mid;S14:current_mid
1,1,1148,0.16563663478402305,-0.0703742798344403,-0.06494858352281012,0.030313771426772627,63,11,3,31,True,1070.0789469427114,1,S13:change_endo_minus_mid;S06:current_mid;S06:current_endo;S04:change_mid;S04:change_endo
2,0,293,0.16563429019573844,-0.03529539188715211,0.11397579881626915,0.01636309949231719,15,11,1,11,True,816.5217529105961,1,S11:change_endo_minus_mid;S13:change_mid;S13:change_endo;S07:change_endo;S07:change_mid
1,1,265,0.16558226938295392,-0.002670858255942371,-0.03609638771553687,0.1268150234114747,45,11,1,11,False,9540.72286703499,0,S15:current_endo;S13:current_endo;S08:current_endo;S05:current_endo;S13:current_mid
5,2,826,0.1655705117235721,-0.0071770868419147454,-0.13180815801881154,-0.026585266862845812,67,11,1,11,True,1019.6830269456118,1,S03:change_endo_minus_mid;S15:change_endo_minus_mid;S11:current_mid;S13:current_endo_minus_mid;S16:current_endo_minus_mid
13,2,756,0.16547313555595172,0.03007405258138525,-0.028151135678100427,-0.10724794729646606,77,11,1,11,False,6445.188861921602,0,S17:current_endo;S04:current_endo;S04:current_mid;S17:current_mid;S08:current_endo
10,2,656,0.1652428788883161,0.059591622928945695,-0.10155448392882575,0.004096772030544642,84,11,1,11,False,10118.137814204027,0,S01:change_endo;S01:change_mid;S05:current_endo;S05:current_mid;S01:current_endo
9,0,796,0.16516360435559024,0.013202270509722624,-0.10531195666040755,-0.04664937718546008,74,11,1,11,True,895.1514125410068,0,S07:change_endo;S07:change_mid;S16:change_endo_minus_mid;S08:change_endo;S11:current_endo
13,2,819,0.16511439765755137,-0.02773122907125654,-0.11666877730017045,0.020714391286124404,54,11,1,11,True,999.6598641711469,0,S10:change_endo;S10:change_mid;S11:change_endo_minus_mid;S01:change_mid;S10:current_mid
8,1,399,0.16485438605456984,0.02410258460900185,-0.10414324117592014,-0.03660856026964785,72,11,1,11,True,1078.4848185588235,0,S07:change_endo;S12:current_mid;S04:change_mid;S06:change_endo;S06:change_mid
12,0,214,0.16440715709676051,-0.03934702813120043,-0.060411684642988656,-0.06464844432257144,0,11,1,11,True,1163.0157597871691,1,S05:current_mid;S09:current_endo_minus_mid;S04:change_endo_minus_mid;S16:change_endo_minus_mid;S05:current_endo
12,1,594,0.16435011296021684,0.05219792265529777,0.03300579196220207,-0.07914639834271699,81,11,1,11,False,9161.00449786176,0,S05:change_endo;S06:current_endo;S05:change_mid;S10:current_endo;S06:current_mid
6,0,850,0.16429637321771973,-0.026008368931076664,-0.032103403911970106,0.10618460037467295,35,11,1,11,False,8035.2849938281215,1,S05:current_endo;S05:current_mid;S14:current_endo;S01:current_endo;S01:current_mid
9,1,1042,0.16426198779841744,-0.031917882962170546,0.09557592395628402,0.03676818087996286,35,11,2,21,True,1142.1208798571345,1,S01:change_mid;S02:change_endo;S01:change_endo;S02:change_mid;S14:current_endo_minus_mid
13,2,1172,0.164187032624119,0.0157296458688553,0.13845026712594052,0.010007119629323153,65,11,1,11,True,1124.970504971303,0,S16:current_endo;S16:current_mid;S13:current_endo;S18:change_endo_minus_mid;S09:change_mid
9,0,69,0.16418669766400124,0.04062871968862154,-0.07588246823988654,-0.04767550973549314,81,11,1,11,False,5616.38285825039,0,S05:current_endo;S05:current_mid;S18:current_mid;S18:current_endo;S01:current_mid
1,2,285,0.16412282480007678,-0.0230671220340379,0.021854805517944147,0.11920089724809475,24,11,6,61,False,7230.258509509083,1,S05:current_endo;S05:current_mid;S18:current_endo;S06:current_endo;S14:current_endo
1,2,629,0.1640571135356208,0.016329279126561475,-0.006936567459732279,-0.14079126694932706,43,11,3,31,False,8587.440864854421,0,S18:current_endo;S13:current_endo;S15:current_endo;S18:current_mid;S09:current_endo
4,0,549,0.16382390157892784,0.03461332866244329,-0.08295303517994812,-0.046257537736536423,21,11,3,31,True,913.7296779683477,0,S18:change_endo_minus_mid;S09:change_mid;S10:change_mid;S09:change_endo;S11:current_mid
3,0,489,0.16380639709254527,0.020514783343353764,0.09297518153451904,-0.050316432214672475,79,11,1,11,True,891.6162865207057,0,S01:current_mid;S10:change_mid;S01:current_endo;S10:change_endo;S11:change_mid
12,0,605,0.16357423398382498,-0.018832747757415086,0.021802307473384904,-0.12293917875302499,31,11,6,61,False,13283.161716797615,1,S16:current_endo;S13:current_endo;S15:current_endo;S18:current_endo;S17:current_endo
13,2,631,0.16357113116354347,-0.05291817182401054,0.06521720301722567,0.04543575632230725,73,11,1,11,True,931.383888663294,0,S04:change_mid;S04:change_endo;S18:change_mid;S18:change_endo;S12:current_endo
7,1,99,0.1635311194407503,-0.027695469976897095,0.11678694411086463,-0.01904870535298858,81,11,1,11,True,917.9510199413237,1,S01:change_mid;S07:change_mid;S07:change_endo;S08:change_mid;S08:change_endo
10,2,931,0.16289201823218058,0.019865525333419672,0.08510792354429948,0.057918569354461436,79,11,1,11,False,5186.754516586421,0,S05:current_endo;S05:current_mid;S10:current_endo;S08:current_endo;S10:current_mid
