split,transition_index,segment,attention_weight
0,199,13,0.07064713537693024
0,199,14,0.044091276824474335
0,199,15,0.07081982493400574
0,199,16,0.09106775373220444
0,199,17,0.04495541378855705
0,199,18,0.042818278074264526
0,200,1,0.04732144623994827
0,200,2,0.04180055484175682
0,200,3,0.031945113092660904
0,200,4,0.04715997725725174
0,200,5,0.07589688152074814
0,200,6,0.04482492431998253
0,200,7,0.04606189206242561
0,200,8,0.07263379544019699
0,200,9,0.05155539512634277
0,200,10,0.034351687878370285
0,200,11,0.04171517491340637
0,200,12,0.039890632033348083
0,200,13,0.07876627892255783
0,200,14,0.06466495990753174
0,200,15,0.08246579021215439
0,200,16,0.09947272390127182
0,200,17,0.05012193322181702
0,200,18,0.049350883811712265
0,201,1,0.04781586676836014
0,201,2,0.042602356523275375
0,201,3,0.033642664551734924
0,201,4,0.04617531970143318
0,201,5,0.07666178792715073
0,201,6,0.05263739824295044
0,201,7,0.04540952295064926
0,201,8,0.09397386759519577
0,201,9,0.058492328971624374
0,201,10,0.03760218247771263
0,201,11,0.04610210284590721
0,201,12,0.03964528441429138
0,201,13,0.0740857943892479
0,201,14,0.048913948237895966
0,201,15,0.08022326231002808
0,201,16,0.08539722859859467
0,201,17,0.04438740387558937
0,201,18,0.046231720596551895
0,202,1,0.04412464797496796
0,202,2,0.04714852198958397
0,202,3,0.03706042096018791
0,202,4,0.04469930753111839
0,202,5,0.08488652855157852
0,202,6,0.0446012020111084
0,202,7,0.05029360204935074
0,202,8,0.07624056190252304
0,202,9,0.059274822473526
0,202,10,0.04231012240052223
0,202,11,0.046827323734760284
0,202,12,0.03978794440627098
0,202,13,0.07782022655010223
0,202,14,0.05274586379528046
0,202,15,0.07158641517162323
0,202,16,0.0858452171087265
0,202,17,0.04132748767733574
0,202,18,0.05341975390911102
0,249,1,0.051401372998952866
0,249,2,0.04155249148607254
0,249,3,0.045168161392211914
0,249,4,0.046357981860637665
0,249,5,0.0928262397646904
0,249,6,0.04328165575861931
0,249,7,0.04410838335752487
0,249,8,0.07928227633237839
0,249,9,0.05789097025990486
0,249,10,0.048529401421546936
0,249,11,0.04394714534282684
0,249,12,0.03712031990289688
0,249,13,0.06972762197256088
0,249,14,0.0418451726436615
0,249,15,0.07215209305286407
0,249,16,0.0923290029168129
0,249,17,0.048505716025829315
0,249,18,0.04397398233413696
0,250,1,0.05942489206790924
0,250,2,0.043201081454753876
0,250,3,0.0394829586148262
0,250,4,0.04865536466240883
0,250,5,0.07462655007839203
0,250,6,0.059744928032159805
0,250,7,0.04317999258637428
0,250,8,0.08204130828380585
0,250,9,0.0660509318113327
0,250,10,0.04204607009887695
0,250,11,0.04531304910778999
0,250,12,0.03571672365069389
0,250,13,0.06021350994706154
0,250,14,0.05277622491121292
0,250,15,0.0660509318113327
0,250,16,0.0900607705116272
0,250,17,0.05152849853038788
0,250,18,0.039886243641376495
0,251,1,0.05611297860741615
0,251,2,0.03996774181723595
0,251,3,0.03530910238623619
0,251,4,0.05664980784058571
0,251,5,0.06608496606349945
0,251,6,0.04667286574840546
0,251,7,0.04976190999150276
0,251,8,0.0814845934510231
0,251,9,0.054320212453603745
0,251,10,0.04818382486701012
0,251,11,0.04542503505945206
0,251,12,0.039372120052576065
0,251,13,0.06969746202230453
0,251,14,0.049098189920186996
0,251,15,0.07647297531366348
0,251,16,0.09998336434364319
0,251,17,0.04979837313294411
0,251,18,0.03560449928045273
0,261,1,0.048628270626068115
0,261,2,0.04238327592611313
0,261,3,0.03708430007100105
0,261,4,0.04546507075428963
0,261,5,0.06661317497491837
0,261,6,0.046130333095788956
0,261,7,0.049732863903045654
0,261,8,0.07753720134496689
0,261,9,0.05482126399874687
0,261,10,0.040494274348020554
0,261,11,0.05442120507359505
0,261,12,0.04784514755010605
0,261,13,0.06981000304222107
0,261,14,0.0527082234621048
0,261,15,0.07146549969911575
0,261,16,0.09616734087467194
0,261,17,0.04955107346177101
0,261,18,0.04914146289229393
0,262,1,0.05111772567033768
0,262,2,0.03822703659534454
0,262,3,0.03670743852853775
0,262,4,0.04648076742887497
0,262,5,0.08184558898210526
0,262,6,0.03815477341413498
0,262,7,0.04381949082016945
0,262,8,0.07279498130083084
0,262,9,0.0555826760828495
0,262,10,0.039866454899311066
0,262,11,0.047565605491399765
0,262,12,0.03684920817613602
0,262,13,0.08180564641952515
0,262,14,0.04855114221572876
0,262,15,0.07917268574237823
0,262,16,0.1058126837015152
0,262,17,0.04574897885322571
0,262,18,0.049897029995918274
0,263,1,0.06590119004249573
0,263,2,0.041884228587150574
0,263,3,0.031654488295316696
0,263,4,0.0506022572517395
0,263,5,0.07150012999773026
0,263,6,0.03590455651283264
0,263,7,0.05211939662694931
0,263,8,0.07633480429649353
0,263,9,0.05083753168582916
0,263,10,0.04535403475165367
0,263,11,0.04654306545853615
0,263,12,0.03757458180189133
0,263,13,0.0844949334859848
0,263,14,0.046936746686697006
0,263,15,0.0635935366153717
0,263,16,0.10192033648490906
0,263,17,0.0505899041891098
0,263,18,0.04625421017408371
0,267,1,0.05091152712702751
0,267,2,0.042462948709726334
0,267,3,0.03771664947271347
0,267,4,0.054307617247104645
0,267,5,0.09159435331821442
